"id","created_at","updated_at","almost_list","answer","public_id","reward_code","is_unlocked","unlock_at","hint"
"1","2025-06-26 18:00:40.496386+00","2025-07-17 22:21:05.41+00","[""Quântico"", ""Fóton"", ""Qubit""]","Quantum","eb94c2b7-aefa-48f8-a940-d91ca495ceb4","VXPF140SN","true","2025-07-17 22:21:05.41+00","Decisões coexistem até o instante do olhar,
O impossível se torna cálculo."
"2","2025-06-26 18:00:40.496386+00","2025-07-18 12:32:32.823+00","[""Liberdade"", ""Checoslováquia"", ""Russo""]","Svoboda","ac6acde9-2e59-45fd-a64e-7c4fcaf0a2d0","9QEEBFHOI","true","2025-07-18 12:32:32.823+00","O silêncio do código desafia grades,
A vontade se escreve sem tradução."
"3","2025-06-26 18:00:40.496386+00","2025-07-18 14:07:28.893+00","[""Rede"", ""Malha"", ""Conectado""]","Mesh","ec68d5a2-d38b-438f-98c8-da83f6a67e33","9ZHHV60ML","true","2025-07-18 14:07:28.892+00","A força não está no centro,
Mas no emaranhado de conexões livres."
"4","2025-06-26 18:00:40.496386+00","2025-07-18 14:24:10.873+00","[""Código"", ""Passcode"", ""Chave""]","Senha","88344827-7e7d-454c-ab40-852582de38db","IAZKJ6Q9H","true","2025-07-18 14:24:10.873+00","O segredo se esconde em engrenagens de lógica,
Entregue ao esquecimento."
"5","2025-06-26 18:00:40.496386+00","2025-07-18 15:48:24.156+00","[""Criptografia"", ""Chave pública"", ""Algoritmo""]","RSA","f764ed15-af64-41b5-9d47-60a7e92e3378","140TQ2TOF","true","2025-07-18 15:48:24.156+00","O segredo viaja em lados opostos,
A solução exige muito mais do que olhos atentos."
"6","2025-06-26 18:00:40.496386+00","2025-07-18 17:02:49.212+00","[""Android"", ""Robô"", ""Implante""]","Cyborg","a5bf593d-62e4-4974-a93d-5360a041526e","0P3A77OTR","true","2025-07-18 17:02:49.212+00","A fronteira se desfaz entre pulsos e impulsos,
A unidade nasce."
"7","2025-06-26 18:00:40.496386+00","2025-07-18 18:05:14.847+00","[""Cloud"", ""Armazenamento"", ""Online""]","Nuvem","069a656c-738a-4b15-a41f-e057ceb4586d","AFZMJJSPO","true","2025-07-18 18:05:14.847+00","A corrente é tão forte quanto seu elo oculto,
O risco começa onde menos se espera."
"8","2025-06-26 18:00:40.496386+00","2025-07-18 18:26:00.918+00","[""Autenticação"", ""Código SMS"", ""Token""]","2FA","f60cefa9-6c49-4c8e-b9fc-f2ec3b33bdf9","E77NPRN08","true","2025-07-18 18:26:00.918+00","O mesmo ponto abriga opostos,
A resposta só surge no contraste."
"9","2025-06-26 18:00:40.496386+00","2025-07-18 19:23:42.729+00","[""Gerência"", ""Comando"", ""Painel""]","Controle","f1a3851b-b460-4266-a491-00a0a1a3077c","8A94FX2US","true","2025-07-18 19:23:42.729+00","Conectada pelo fio invisível,
A vontade se rende ao oculto."
"10","2025-06-26 18:00:40.496386+00","2025-07-18 19:53:19.593+00","[""Orwell"", ""Big Brother"", ""Distopia""]","1984","1987c44a-1585-454b-9aa7-f883fd34ea2d","AX8KGOPI1","true","2025-07-18 19:53:19.593+00","Nada escapa ao olhar que nunca dorme,
O segredo se desfaz sob luz constante."
"11","2025-06-26 18:00:40.496386+00","2025-07-19 11:33:50.694+00","[""Onion"", ""Anônimo"", ""Navegador""]","Tor","5b94f965-7718-4346-ba58-a22b07ee24a6","KHN64R6RE","true","2025-07-19 11:33:50.694+00","Caminho oculto sob camadas,
O anonimato é sua passagem."
"12","2025-06-26 18:00:40.496386+00","2025-07-19 12:57:22.912+00","[""NSA"", ""Espionagem"", ""Vigilância""]","Prism","a7254016-07cc-418d-a257-7d41f21b1331","MHIZ0K2G8","true","2025-07-19 12:57:22.912+00","Reflete mil segredos sem ser visto,
O vidro nunca revela o que observa."
"13","2025-06-26 18:00:40.496386+00","2025-07-19 13:30:52.998+00","[""Firewall"", ""Proteção"", ""Antivírus""]","Cibersegurança","136aa93d-bfbc-409e-aedc-61fe90f5a1dd","S4DIDET39","true","2025-07-19 13:30:52.998+00","Solitário e sem nome,
A identidade se dissolve em código."
"14","2025-06-26 18:00:40.496386+00","2025-07-19 14:02:40.988+00","[""Tempo"", ""Vulnerabilidade"", ""Side-channel""]","Timing Attack","99b48241-d708-42dd-8a91-3d85221236e1","564SV7P5O","true","2025-07-19 14:02:40.988+00","O tempo revela o que o toque não alcança,
O segredo escapa por entre intervalos."
"15","2025-06-26 18:00:40.496386+00","2025-07-19 14:44:39.94+00","[""Malware"", ""Kernel"", ""Invisível""]","Rootkit","1da6720c-e68d-45c5-8090-14e6442c71df","3XI87J7J2","true","2025-07-19 14:44:39.94+00","Esconde-se onde o sistema esquece,
A sombra persiste mesmo após o reinício."
"16","2025-06-26 18:00:40.496386+00","2025-07-19 15:39:10.873+00","[""Hackers"", ""NSA"", ""Leak""]","Shadow Brokers","37f1181e-1d86-440f-a06d-9804469a6c79","J7VUQ9PZM","true","2025-07-19 15:39:10.873+00","Segredos trocados nas sombras,
O plural revela o agente oculto."
"17","2025-06-26 18:00:40.496386+00","2025-07-19 15:52:22.431+00","[""Engenharia social"", ""Mentira"", ""Golpe""]","Pretexting","d7c13ab7-f39d-411f-afb7-18419fd05bc1","HP28X56WH","true","2025-07-19 15:52:22.43+00","A fantasia abre portas reais,
O acesso é a chave do sucesso."
"18","2025-06-26 18:00:40.496386+00","2025-07-19 17:05:53.796+00","[""Criptografia"", ""Simétrico"", ""256-bit""]","AES","4804a1d9-c04c-41e3-a12d-8dc75638d112","ERI52XK5P","true","2025-07-19 17:05:53.795+00","O cofre de ouro,
A infinita simetria."
"19","2025-06-26 18:00:40.496386+00","2025-07-19 17:32:17.471+00","[""Rede"", ""Internet"", ""Online""]","Net","10428117-39ec-49cd-aa6a-0986c725d04c","B7ATPFFFS","true","2025-07-19 17:32:17.471+00","Mentes e máquinas dançam sem fim,
O fluxo é o palco da invasão."
"20","2025-06-26 18:00:40.496386+00","2025-07-19 18:01:07.599+00","[""Implantes"", ""Futurista"", ""Tecnológica""]","Augmentação","dd43bcfa-7ce4-4a36-8c97-b5bdf009ccd3","7TEPTG99B","true","2025-07-19 18:01:07.599+00","O corpo se expande além do sonho,
O estanho das entranhas."